model,sampler,fold,tn,fp,fn,tp
XGBoost,ADASYN,7,134,16,26,24
XGBoost,ADASYN,8,134,17,26,23
XGBoost,ADASYN,9,134,17,19,30
XGBoost,ADASYN,10,142,9,20,29
XGBoost,ADASYN,11,129,21,16,34
XGBoost,ADASYN,12,136,14,16,34
XGBoost,ADASYN,13,136,15,13,36
XGBoost,ADASYN,14,136,15,22,27
XGBoost,ADASYN,15,136,15,26,23
XGBoost,BorderlineSMOTE,1,135,15,26,24
XGBoost,BorderlineSMOTE,2,141,9,30,20
XGBoost,BorderlineSMOTE,3,132,19,16,33
XGBoost,BorderlineSMOTE,4,136,15,19,30
XGBoost,BorderlineSMOTE,5,127,24,12,37
XGBoost,BorderlineSMOTE,6,137,13,17,33
XGBoost,BorderlineSMOTE,7,134,16,26,24
XGBoost,BorderlineSMOTE,8,134,17,24,25
XGBoost,BorderlineSMOTE,9,136,15,18,31
XGBoost,BorderlineSMOTE,10,139,12,19,30
XGBoost,BorderlineSMOTE,11,127,23,19,31
XGBoost,BorderlineSMOTE,12,135,15,18,32
XGBoost,BorderlineSMOTE,13,137,14,13,36
XGBoost,BorderlineSMOTE,14,133,18,25,24
XGBoost,BorderlineSMOTE,15,137,14,23,26
XGBoost,RandomUnderSampler,1,124,26,8,42
XGBoost,RandomUnderSampler,2,131,19,19,31
XGBoost,RandomUnderSampler,3,119,32,6,43
XGBoost,RandomUnderSampler,4,115,36,11,38
XGBoost,RandomUnderSampler,5,108,43,4,45
XGBoost,RandomUnderSampler,6,123,27,7,43
XGBoost,RandomUnderSampler,7,123,27,8,42
XGBoost,RandomUnderSampler,8,116,35,10,39
XGBoost,RandomUnderSampler,9,122,29,9,40
XGBoost,RandomUnderSampler,10,129,22,10,39
XGBoost,RandomUnderSampler,11,114,36,6,44
XGBoost,RandomUnderSampler,12,125,25,7,43
XGBoost,RandomUnderSampler,13,119,32,6,43
XGBoost,RandomUnderSampler,14,126,25,12,37
XGBoost,RandomUnderSampler,15,124,27,15,34
XGBoost,NearMiss,1,123,27,11,39
XGBoost,NearMiss,2,129,21,17,33
XGBoost,NearMiss,3,107,44,14,35
XGBoost,NearMiss,4,108,43,15,34
XGBoost,NearMiss,5,109,42,4,45
XGBoost,NearMiss,6,107,43,10,40
XGBoost,NearMiss,7,123,27,11,39
XGBoost,NearMiss,8,111,40,15,34
XGBoost,NearMiss,9,115,36,14,35
XGBoost,NearMiss,10,112,39,12,37
XGBoost,NearMiss,11,115,35,9,41
XGBoost,NearMiss,12,109,41,13,37
XGBoost,NearMiss,13,113,38,7,42
XGBoost,NearMiss,14,114,37,18,31
XGBoost,NearMiss,15,124,27,17,32
XGBoost,TomekLinks,1,131,19,21,29
XGBoost,TomekLinks,2,141,9,25,25
XGBoost,TomekLinks,3,131,20,16,33
XGBoost,TomekLinks,4,135,16,20,29
XGBoost,TomekLinks,5,128,23,7,42
XGBoost,TomekLinks,6,133,17,17,33
XGBoost,TomekLinks,7,133,17,24,26
XGBoost,TomekLinks,8,132,19,20,29
XGBoost,TomekLinks,9,133,18,19,30
XGBoost,TomekLinks,10,135,16,20,29
XGBoost,TomekLinks,11,129,21,16,34
XGBoost,TomekLinks,12,132,18,20,30
XGBoost,TomekLinks,13,132,19,13,36
XGBoost,TomekLinks,14,135,16,23,26
XGBoost,TomekLinks,15,136,15,19,30
XGBoost,ClusterCentroids,1,40,110,3,47
XGBoost,ClusterCentroids,2,59,91,4,46
XGBoost,ClusterCentroids,3,53,98,2,47
XGBoost,ClusterCentroids,4,48,103,5,44
XGBoost,ClusterCentroids,5,35,116,3,46
XGBoost,ClusterCentroids,6,33,117,4,46
XGBoost,ClusterCentroids,7,37,113,2,48
XGBoost,ClusterCentroids,8,61,90,6,43
XGBoost,ClusterCentroids,9,42,109,2,47
XGBoost,ClusterCentroids,10,41,110,0,49
XGBoost,ClusterCentroids,11,35,115,0,50
XGBoost,ClusterCentroids,12,47,103,1,49
XGBoost,ClusterCentroids,13,40,111,4,45
XGBoost,ClusterCentroids,14,64,87,5,44
XGBoost,ClusterCentroids,15,60,91,3,46
XGBoost,SMOTETomek,1,135,15,26,24
XGBoost,SMOTETomek,2,143,7,30,20
XGBoost,SMOTETomek,3,129,22,19,30
XGBoost,SMOTETomek,4,135,16,19,30
XGBoost,SMOTETomek,5,131,20,10,39
XGBoost,SMOTETomek,6,134,16,14,36
XGBoost,SMOTETomek,7,133,17,27,23
XGBoost,SMOTETomek,8,129,22,24,25
XGBoost,SMOTETomek,9,135,16,20,29
XGBoost,SMOTETomek,10,140,11,21,28
XGBoost,SMOTETomek,11,130,20,17,33
XGBoost,SMOTETomek,12,137,13,18,32
XGBoost,SMOTETomek,13,136,15,13,36
XGBoost,SMOTETomek,14,136,15,25,24
XGBoost,SMOTETomek,15,136,15,22,27
XGBoost,SMOTEENN,1,16,134,1,49
XGBoost,SMOTEENN,2,18,132,3,47
XGBoost,SMOTEENN,3,12,139,0,49
XGBoost,SMOTEENN,4,20,131,1,48
XGBoost,SMOTEENN,5,25,126,2,47
XGBoost,SMOTEENN,6,28,122,4,46
XGBoost,SMOTEENN,7,30,120,1,49
XGBoost,SMOTEENN,8,26,125,2,47
XGBoost,SMOTEENN,9,11,140,1,48
XGBoost,SMOTEENN,10,18,133,3,46
XGBoost,SMOTEENN,11,17,133,2,48
XGBoost,SMOTEENN,12,31,119,0,50
XGBoost,SMOTEENN,13,28,123,1,48
XGBoost,SMOTEENN,14,12,139,0,49
XGBoost,SMOTEENN,15,22,129,1,48
CatBoost,No Sampling,1,137,13,22,28
CatBoost,No Sampling,2,144,6,29,21
CatBoost,No Sampling,3,137,14,22,27
CatBoost,No Sampling,4,141,10,23,26
CatBoost,No Sampling,5,135,16,17,32
CatBoost,No Sampling,6,134,16,18,32
CatBoost,No Sampling,7,134,16,20,30
CatBoost,No Sampling,8,136,15,19,30
CatBoost,No Sampling,9,135,16,30,19
CatBoost,No Sampling,10,141,10,24,25
CatBoost,No Sampling,11,129,21,18,32
CatBoost,No Sampling,12,138,12,20,30
CatBoost,No Sampling,13,137,14,19,30
CatBoost,No Sampling,14,139,12,29,20
CatBoost,No Sampling,15,138,13,32,17
CatBoost,Cost Sensitive,1,132,18,15,35
CatBoost,Cost Sensitive,2,139,11,19,31
CatBoost,Cost Sensitive,3,129,22,16,33
CatBoost,Cost Sensitive,4,132,19,21,28
CatBoost,Cost Sensitive,5,128,23,9,40
CatBoost,Cost Sensitive,6,131,19,14,36
CatBoost,Cost Sensitive,7,128,22,21,29
CatBoost,Cost Sensitive,8,126,25,11,38
CatBoost,Cost Sensitive,9,130,21,17,32
CatBoost,Cost Sensitive,10,134,17,15,34
CatBoost,Cost Sensitive,11,123,27,10,40
CatBoost,Cost Sensitive,12,132,18,13,37
CatBoost,Cost Sensitive,13,131,20,9,40
CatBoost,Cost Sensitive,14,132,19,21,28
CatBoost,Cost Sensitive,15,135,16,17,32
CatBoost,RandomOverSampler,1,130,20,17,33
CatBoost,RandomOverSampler,2,140,10,23,27
CatBoost,RandomOverSampler,3,130,21,13,36
CatBoost,RandomOverSampler,4,133,18,19,30
CatBoost,RandomOverSampler,5,125,26,10,39
CatBoost,RandomOverSampler,6,132,18,15,35
CatBoost,RandomOverSampler,7,129,21,20,30
CatBoost,RandomOverSampler,8,129,22,18,31
CatBoost,RandomOverSampler,9,129,22,20,29
CatBoost,RandomOverSampler,10,136,15,16,33
CatBoost,RandomOverSampler,11,124,26,12,38
CatBoost,RandomOverSampler,12,133,17,15,35
CatBoost,RandomOverSampler,13,132,19,14,35
CatBoost,RandomOverSampler,14,134,17,22,27
CatBoost,RandomOverSampler,15,135,16,18,31
CatBoost,SMOTE,1,132,18,21,29
CatBoost,SMOTE,2,142,8,24,26
CatBoost,SMOTE,3,133,18,17,32
CatBoost,SMOTE,4,136,15,19,30
CatBoost,SMOTE,5,125,26,11,38
CatBoost,SMOTE,6,134,16,15,35
CatBoost,SMOTE,7,130,20,19,31
CatBoost,SMOTE,8,133,18,15,34
CatBoost,SMOTE,9,133,18,20,29
CatBoost,SMOTE,10,136,15,15,34
CatBoost,SMOTE,11,123,27,16,34
CatBoost,SMOTE,12,135,15,14,36
CatBoost,SMOTE,13,131,20,10,39
CatBoost,SMOTE,14,133,18,23,26
CatBoost,SMOTE,15,135,16,19,30
CatBoost,ADASYN,1,134,16,19,31
CatBoost,ADASYN,2,141,9,24,26
CatBoost,ADASYN,3,128,23,15,34
CatBoost,ADASYN,4,134,17,14,35
CatBoost,ADASYN,5,128,23,7,42
CatBoost,ADASYN,6,135,15,12,38
CatBoost,ADASYN,7,128,22,25,25
CatBoost,ADASYN,8,132,19,15,34
CatBoost,ADASYN,9,133,18,19,30
CatBoost,ADASYN,10,135,16,17,32
CatBoost,ADASYN,11,127,23,16,34
CatBoost,ADASYN,12,135,15,14,36
CatBoost,ADASYN,13,133,18,9,40
CatBoost,ADASYN,14,134,17,24,25
CatBoost,ADASYN,15,136,15,18,31
CatBoost,BorderlineSMOTE,1,130,20,22,28
CatBoost,BorderlineSMOTE,2,141,9,24,26
CatBoost,BorderlineSMOTE,3,131,20,15,34
CatBoost,BorderlineSMOTE,4,134,17,17,32
