model,sampler,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,fp_per_tp,train_time_sec,tn,fp,fn,tp
ANN,RandomOverSampler,8,0.7165190203230849,0.12876254180602006,0.77,0.22063037249283668,0.8242056074766355,0.17440737244224916,6.766233766233766,27.29436678899947,1298,521,23,77
ANN,RandomOverSampler,9,0.7325338894681961,0.1408695652173913,0.81,0.24,0.8190099009900991,0.14614303968823386,6.098765432098766,28.87868360899938,1324,494,19,81
ANN,RandomOverSampler,10,0.7064650677789364,0.12111292962356793,0.74,0.20815752461322082,0.811465896589659,0.16853540052141847,7.256756756756757,28.477978010000697,1281,537,26,74
ANN,RandomOverSampler,11,0.7076602397081814,0.1312,0.82,0.22620689655172413,0.8350192413413964,0.17098093078701113,6.621951219512195,27.113039226000183,1276,543,18,82
ANN,RandomOverSampler,12,0.6789994788952579,0.12058823529411765,0.82,0.21025641025641026,0.8171110500274876,0.18602418130338294,7.2926829268292686,28.450026429999525,1221,598,18,82
ANN,RandomOverSampler,13,0.7212089630015633,0.1319796954314721,0.78,0.22575976845151954,0.8349120395821881,0.18096665476543947,6.576923076923077,30.194121318000725,1306,513,22,78
ANN,RandomOverSampler,14,0.7142857142857143,0.13278688524590163,0.81,0.22816901408450704,0.8366666666666667,0.17874853564821408,6.530864197530864,28.201953292000326,1289,529,19,81
ANN,RandomOverSampler,15,0.7153284671532847,0.132013201320132,0.8,0.22662889518413598,0.8315621562156216,0.18141206705597007,6.575,28.810265703999903,1292,526,20,80
ANN,SMOTE,1,0.7311099531005733,0.14013840830449828,0.81,0.23893805309734514,0.8220340846619022,0.15076931819719117,6.135802469135802,31.463907074999952,1322,497,19,81
ANN,SMOTE,2,0.7608129233976029,0.1329243353783231,0.65,0.22071307300509338,0.80847718526663,0.15298343297546232,6.523076923076923,31.909996092000256,1395,424,35,65
ANN,SMOTE,3,0.7415320479416363,0.13059701492537312,0.7,0.22012578616352202,0.8171825178669597,0.18064546295568001,6.6571428571428575,29.233618580999973,1353,466,30,70
ANN,SMOTE,4,0.7205422314911366,0.12152777777777778,0.7,0.20710059171597633,0.7999174917491749,0.17358111755181138,7.228571428571429,28.52501588300038,1312,506,30,70
