model,sampler,fold,tn,fp,fn,tp
XGBoost,Cost Sensitive,2,1468,351,29,71
XGBoost,Cost Sensitive,3,1474,345,33,67
XGBoost,Cost Sensitive,4,1426,392,28,72
XGBoost,Cost Sensitive,5,1445,373,27,73
XGBoost,Cost Sensitive,6,1464,355,33,67
XGBoost,Cost Sensitive,7,1474,345,28,72
XGBoost,Cost Sensitive,8,1460,359,27,73
XGBoost,Cost Sensitive,9,1442,376,29,71
XGBoost,Cost Sensitive,10,1481,337,30,70
XGBoost,Cost Sensitive,11,1460,359,24,76
XGBoost,Cost Sensitive,12,1446,373,33,67
XGBoost,Cost Sensitive,13,1483,336,35,65
XGBoost,Cost Sensitive,14,1461,357,30,70
XGBoost,Cost Sensitive,15,1432,386,27,73
XGBoost,RandomOverSampler,1,1429,390,21,79
XGBoost,RandomOverSampler,2,1447,372,30,70
XGBoost,RandomOverSampler,3,1467,352,32,68
XGBoost,RandomOverSampler,4,1449,369,28,72
XGBoost,RandomOverSampler,5,1443,375,26,74
XGBoost,RandomOverSampler,6,1443,376,33,67
XGBoost,RandomOverSampler,7,1450,369,29,71
XGBoost,RandomOverSampler,8,1448,371,25,75
XGBoost,RandomOverSampler,9,1448,370,26,74
XGBoost,RandomOverSampler,10,1472,346,31,69
XGBoost,RandomOverSampler,11,1449,370,25,75
XGBoost,RandomOverSampler,12,1450,369,29,71
XGBoost,RandomOverSampler,13,1482,337,27,73
XGBoost,RandomOverSampler,14,1451,367,28,72
XGBoost,RandomOverSampler,15,1426,392,28,72
XGBoost,SMOTE,1,1810,9,99,1
XGBoost,SMOTE,2,1818,1,96,4
XGBoost,SMOTE,3,1808,11,96,4
XGBoost,SMOTE,4,1812,6,97,3
XGBoost,SMOTE,5,1811,7,99,1
XGBoost,SMOTE,6,1813,6,99,1
XGBoost,SMOTE,7,1816,3,100,0
XGBoost,SMOTE,8,1811,8,98,2
XGBoost,SMOTE,9,1812,6,99,1
XGBoost,SMOTE,10,1814,4,100,0
XGBoost,SMOTE,11,1817,2,99,1
XGBoost,SMOTE,12,1817,2,99,1
XGBoost,SMOTE,13,1810,9,99,1
XGBoost,SMOTE,14,1814,4,98,2
XGBoost,SMOTE,15,1808,10,95,5
XGBoost,ADASYN,1,1815,4,98,2
XGBoost,ADASYN,2,1819,0,99,1
XGBoost,ADASYN,3,1811,8,98,2
XGBoost,ADASYN,4,1811,7,98,2
XGBoost,ADASYN,5,1816,2,98,2
XGBoost,ADASYN,6,1813,6,98,2
XGBoost,ADASYN,7,1817,2,100,0
XGBoost,ADASYN,8,1812,7,98,2
XGBoost,ADASYN,9,1813,5,99,1
XGBoost,ADASYN,10,1815,3,100,0
XGBoost,ADASYN,11,1816,3,99,1
XGBoost,ADASYN,12,1817,2,98,2
XGBoost,ADASYN,13,1813,6,100,0
XGBoost,ADASYN,14,1816,2,98,2
XGBoost,ADASYN,15,1815,3,97,3
XGBoost,BorderlineSMOTE,1,1810,9,98,2
XGBoost,BorderlineSMOTE,2,1815,4,96,4
XGBoost,BorderlineSMOTE,3,1808,11,96,4
XGBoost,BorderlineSMOTE,4,1806,12,98,2
XGBoost,BorderlineSMOTE,5,1812,6,98,2
XGBoost,BorderlineSMOTE,6,1811,8,96,4
XGBoost,BorderlineSMOTE,7,1816,3,99,1
XGBoost,BorderlineSMOTE,8,1812,7,95,5
