model,sampler,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,fp_per_tp,train_time_sec,tn,fp,fn,tp
LightGBM,ADASYN,2,0.815,0.6756756756756757,0.5,0.5747126436781609,0.8437333333333332,0.6406994043197887,0.48,0.853533664000679,138,12,25,25
LightGBM,ADASYN,3,0.825,0.6346153846153846,0.673469387755102,0.6534653465346535,0.8394377618597108,0.5632365977104379,0.5757575757575758,0.9523672470004385,132,19,16,33
LightGBM,ADASYN,4,0.815,0.6363636363636364,0.5714285714285714,0.6021505376344086,0.8553858629544533,0.6220987633294683,0.5714285714285714,0.8517246989995328,135,16,21,28
LightGBM,ADASYN,5,0.83,0.6153846153846154,0.8163265306122449,0.7017543859649122,0.8733612650358156,0.6129477295350902,0.625,0.8584291349998239,126,25,9,40
LightGBM,ADASYN,6,0.84,0.6730769230769231,0.7,0.6862745098039216,0.8542666666666666,0.6556539968085343,0.4857142857142857,0.8914345739995042,133,17,15,35
LightGBM,ADASYN,7,0.835,0.6808510638297872,0.64,0.6597938144329897,0.8164,0.5585497790798793,0.46875,0.9217100089999803,135,15,18,32
LightGBM,ADASYN,8,0.785,0.5652173913043478,0.5306122448979592,0.5473684210526316,0.814299229625625,0.5519959750604814,0.7692307692307693,2.386465202999716,131,20,23,26
LightGBM,ADASYN,9,0.795,0.5869565217391305,0.5510204081632653,0.5684210526315789,0.8288957967292878,0.584843265885218,0.7037037037037037,1.2239303939995807,132,19,22,27
LightGBM,ADASYN,10,0.825,0.6346153846153846,0.673469387755102,0.6534653465346535,0.8843086903635626,0.637860910336147,0.5757575757575758,0.9340908149997631,132,19,16,33
LightGBM,ADASYN,11,0.805,0.5964912280701754,0.68,0.6355140186915887,0.8533333333333334,0.5412909715023488,0.6764705882352942,0.8428882340003838,127,23,16,34
LightGBM,ADASYN,12,0.83,0.6666666666666666,0.64,0.6530612244897959,0.8922666666666667,0.6231497937789218,0.5,0.9285739230008403,134,16,18,32
LightGBM,ADASYN,13,0.865,0.6964285714285714,0.7959183673469388,0.7428571428571429,0.8780916340045951,0.629912066104813,0.4358974358974359,0.963946138999745,134,17,10,39
LightGBM,ADASYN,14,0.785,0.575,0.46938775510204084,0.5168539325842697,0.8186241383970806,0.5449517794353734,0.7391304347826086,0.9338200889997097,134,17,26,23
LightGBM,ADASYN,15,0.825,0.6944444444444444,0.5102040816326531,0.5882352941176471,0.8349776996891471,0.6090873028741854,0.44,0.8176441809991957,140,11,24,25
LightGBM,BorderlineSMOTE,1,0.795,0.6153846153846154,0.48,0.5393258426966292,0.8710666666666667,0.5934224916732682,0.625,0.8252280369997607,135,15,26,24
LightGBM,BorderlineSMOTE,2,0.815,0.6857142857142857,0.48,0.5647058823529412,0.8581333333333334,0.6626846815087012,0.4583333333333333,0.9818836319991533,139,11,26,24
